ID,icon,color,eventType
f89c23a6-fbb7-4d0a-a4e6-eeb2db1379c9,sap-icon://heatmap-chart,#FFB343,travel
70a84749-1598-42b3-af58-d3965f18095c,sap-icon://Netweaver-business-client,#6395ee,birthday
322a24ed-c03e-4046-b825-620c5573621a,sap-icon://travel-itinerary,#adebb3,absence
589e03cc-05e8-46eb-8e67-e0ea1379e351,sap-icon://journey-depart,#e3cb88,deputy
